content,sentiment,score
Nice,POSITIVE,0.9977694749832153
doesn't work,NEGATIVE,0.9994888305664062
Doesn't even have capability to do what the ad said 😡,NEGATIVE,0.999503493309021
They are hackers,NEGATIVE,0.9983829259872437
camera kept stopping,NEGATIVE,0.9994812607765198
False. No filter to turn regular people picture into anime character picture.,NEGATIVE,0.999430239200592
Garbage,NEGATIVE,0.9994198083877563
App does not open no Instructions,NEGATIVE,0.9994909763336182
keeps closing,NEGATIVE,0.9985929131507874
keeps crashing galaxy s20 fe,NEGATIVE,0.9987167119979858
"false advertisement. I am supposed to be able to switch hair styles, but there is no hair styles to choose from",NEGATIVE,0.9995102882385254
cool,POSITIVE,0.9961703419685364
nothing like how the adds are,NEGATIVE,0.9972284436225891
crashes,NEGATIVE,0.9989175796508789
keeps stopping and doesn't do anything. it's fake,NEGATIVE,0.9995064735412598
"Worst app ever, downloaded it and it would randomly open random sites on the internet on my phone. Don't download this trash, probably hackers or something idk, just don't download",NEGATIVE,0.999506950378418
Terrible,NEGATIVE,0.9994200468063354
"This app crashed multiple times and couldn't turn my photo into an anime version of myself, so garbage app.",NEGATIVE,0.9995050430297852
"Horrible, nothing like advertisement absolute garbage overall, just another app trying to get your ad revenue Don't download",NEGATIVE,0.9995017051696777
Did not allow me to try different hairstyles.,NEGATIVE,0.9995008707046509
Literally trash,NEGATIVE,0.9987074136734009
This app lies about other games and doesn't even have them stop wasting your time installing this app,NEGATIVE,0.9994958639144897
"Just nothing like the ad ,there is 5 beauty things and it shows you from five years :HORRIBLE APP:,don t waste your time.Like I could have been doing a good app.👎👎👎👎TERRIBLE AND HORRIBLE",NEGATIVE,0.9995081424713135
I love it,POSITIVE,0.998829185962677
"Causes random ads to pop up when I'm not even using the ap! My entire screen would suddenly change to a chrome webpage and I didn't even have chrome open. This happened several times an hour for days. Thankfully, someone in the reviews said the same thing was happening to them, or I never would have figured it out.",NEGATIVE,0.9994638562202454
Good!,POSITIVE,0.9984869956970215
Kept closing and wouldn't do anything.,NEGATIVE,0.9994984865188599
I don't even know how this app was downloaded into my phone. It wasn't until I screenshot what it was doing that I saw the icon above and went looking for whatever app it was. I could be doing something on my phone and then a blue spinning circle I'd never seen would pop up and the page would freeze. It took me a while to realize it was duplicating whatever page or app I was on. Chrome would also open up every 5 mins.,NEGATIVE,0.9995027780532837
Plenty bad,NEGATIVE,0.9994574189186096
I would give it a 0 if I could. No direction on how to use it. Could only use a filter. Do not download,NEGATIVE,0.999504566192627
Most worst app i ve ever seen,NEGATIVE,0.999484658241272
The add I saw was so much better than what the real deal is,NEGATIVE,0.9279326796531677
This app was advertised to show you different hairstyles yet that's not even an option it's beyond stupid,NEGATIVE,0.9995086193084717
traivoScott,POSITIVE,0.9830498099327087
it keeps stopping,NEGATIVE,0.9993927478790283
app keeps stopping,NEGATIVE,0.9994844198226929
The best in the world,POSITIVE,0.9985535740852356
Complete garbage. My phone camera can do more then this. And it doesn't even do as advertised.,NEGATIVE,0.9995033740997314
not even one pic before I have to pay can't even try it,NEGATIVE,0.9995036125183105
I literally got a ad saying see what your future kid would look like as soon as I press it because I wanna laugh it doesn't show and it makes my phone glitch so I rate this a one because it's not a good app,NEGATIVE,0.999502420425415
False advertising,NEGATIVE,0.9994644522666931
it's alright for now,NEGATIVE,0.9931591153144836
Ads appear out of nowhere and don't go away. I cannot find the young-old filter anywhere. I am tired of this. Uninstalling now.,NEGATIVE,0.9994920492172241
first time with this app,NEGATIVE,0.9958102703094482
All adds,POSITIVE,0.9967219233512878
"DOES NOT DO AI ART!!! Falsely advertised and controls have no explanation. Even if you just wanted to adjust a photo, the controls are so confusing you could never figure it out",NEGATIVE,0.9995121955871582
"The app has false advertising about features and filters, I only downloaded it because it claimed to have an anime filter (wanted to see if it was any good for drawing references) and that was nowhere to be found once the app was open. Additionally, they're clearly buying 5 star reviews... I read through a bunch of them, and they aren't even relevant to the app.",NEGATIVE,0.9995020627975464
great,POSITIVE,0.9985584616661072
Way to many ads. What is advertised is not the same in any way.,NEGATIVE,0.9994634985923767
False advertising it said it can make you look like an anime character but it doesn't,NEGATIVE,0.9994818568229675
automatically stopped. will try again.,NEGATIVE,0.9955007433891296
Nice,POSITIVE,0.9977694749832153
Nothings happening,NEGATIVE,0.9994596838951111
keeps stopping,NEGATIVE,0.9988600015640259
False advertisement. Doesn't do what I seen advertised on Facebook. I should've known🙄,NEGATIVE,0.9994992017745972
Adverti lng a filter that doeant exist. Annoying ads...tons of better apps out there,NEGATIVE,0.9993740916252136
Ad is misleading.,NEGATIVE,0.99947589635849
