,content,sentiment,score
0,Still the same,POSITIVE,0.9868049621582031
1,Jvv,POSITIVE,0.9956880211830139
2,Bad,NEGATIVE,0.9991268515586853
3,This game is veri veri good osam,POSITIVE,0.9984748959541321
4,Can you please do the next upgrade in india,POSITIVE,0.9936311841011047
5,Nice gamee 🌸🥀 lovely super game intresting game i am happy to see this rewards lovely game,POSITIVE,0.998916745185852
6,Классная игра!,POSITIVE,0.9949592351913452
7,Cool and dadly,POSITIVE,0.9984868764877319
8,GOOD,POSITIVE,0.9984453320503235
9,I play 2016 year se per isko play karne se aachha mughe free fire lagta tha magar ab sybo game,POSITIVE,0.996263325214386
10,Very good game 👍👍,POSITIVE,0.998798131942749
11,"I really like it. Sometimes, though, it's a bit annoying",POSITIVE,0.998757004737854
12,So good I played a lot and I got so many money so I love this,POSITIVE,0.9987838864326477
13,ganda nito laro nyo na BWAHAHAH,POSITIVE,0.9980290532112122
14,Super game 💞🔥,POSITIVE,0.9988478422164917
15,This game is excellent,POSITIVE,0.9987742304801941
16,I like it,POSITIVE,0.998838484287262
17,Playing this since childhood!,POSITIVE,0.9986588954925537
18,Mind blowing Game,POSITIVE,0.9981284737586975
19,He's the varegoot,POSITIVE,0.9971475005149841
20,Mind blowing app,POSITIVE,0.9981878399848938
21,I love this game and it's characters,POSITIVE,0.9989193677902222
22,"Fun, challenging,",POSITIVE,0.9988479614257812
23,"Why it feels so awkward this season with this colors ?! what with it ?! and not everyone feels good with this pride and it's not cool it's against the natural and religions.. it feels disgusting , and if want to deal with this .., you can just turn off this colors just keep it black and white it much better .. now your game looks to contain sexual promoting .. is your update still gay ?!",NEGATIVE,0.999481737613678
24,fun,POSITIVE,0.9987221360206604
25,This very very very gooooooood!!!,POSITIVE,0.9981029033660889
26,I wish to have next update as classic subway surfers.please,POSITIVE,0.9974985718727112
27,لعبه سلبيه تدعم المثليه,POSITIVE,0.9884117245674133
28,It's very nice game. I enjoy playing it. It is very user friendly and I hope you will also enjoy playing it. Every season in it brings in new characters in it and is. more fun,POSITIVE,0.9989333748817444
29,I love how I get excited to finish the missions but I never finish them♥️♥️😅,POSITIVE,0.9898776412010193
30,Very good game,POSITIVE,0.9987832903862
31,This game is intrusting,NEGATIVE,0.9994482398033142
32,It is good blc it is easy hard,POSITIVE,0.9986463189125061
33,"O.. I. 9..o. . K😭Kklomb. , . :::)??? 9.._.",POSITIVE,0.9979300498962402
34,🤩,POSITIVE,0.9974632263183594
35,This is awesome game🥰🥰🥰🥰🥰,POSITIVE,0.9987666606903076
36,World's best game ever,POSITIVE,0.998096764087677
37,Yup,POSITIVE,0.9953248500823975
38,Love this game as usual as always 🤭💗,POSITIVE,0.9988929629325867
39,Nice game,POSITIVE,0.9988034963607788
40,Good ☺️,POSITIVE,0.9986252784729004
41,Lovely 😍,POSITIVE,0.9987609386444092
42,This is best game Thank you,POSITIVE,0.998816728591919
43,Good game very interesting the game will relax us,POSITIVE,0.9989227652549744
44,Nice game for relaxing your mind,POSITIVE,0.9988800883293152
45,It's not good it supports LGBTQ,NEGATIVE,0.9994012117385864
46,win,POSITIVE,0.9978623986244202
47,Best best game offline game,POSITIVE,0.9981623291969299
48,"Why so much LGBTQ FLAG is in the Game? May Allah Punish you, who is manipulating small kid's Brain.... Fear Allah.",NEGATIVE,0.996880292892456
49,Nice game 🎮 👏,POSITIVE,0.9988304972648621
50,That game is very good I like this game thanks for making this game i will give 4 stars out of 5 thanku,POSITIVE,0.9989181756973267
51,Nice game but they support LGBTQ,POSITIVE,0.9986262321472168
52,Good gane,POSITIVE,0.9986816048622131
53,I love this game,POSITIVE,0.9988890290260315
54,It can get ban because of🏳️‍🌈🏳️‍🌈,POSITIVE,0.9834294319152832
55,Honestly my childhood and love the TikTok memes too but still overated,NEGATIVE,0.995763897895813
56,Very good gameplay with the girls and boys are happy with you,POSITIVE,0.9988685846328735
57,Very nice game to download i love this game and i play this game since 5 yrs but I can't unistall this very nice game,POSITIVE,0.9987963438034058
58,Good,POSITIVE,0.9984152317047119
59,Bad,NEGATIVE,0.9991268515586853
60,Noce,NEGATIVE,0.6342853307723999
61,Great app,POSITIVE,0.9987025260925293
62,Ye game bohoooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooòooooooooooooot echhhha hii :),POSITIVE,0.9986386895179749
63,Have been playing this game 🎮 since 2015 it's funny The game play it's perfect and the graphics are good 📱,POSITIVE,0.9988594055175781
64,I really love playing this game in particular especially when I buy new players,POSITIVE,0.9988607168197632
65,It's a game why do you have to include the LGTV flag everywhere 👎🏻 stopped playing it when I saw the flags,NEGATIVE,0.9994832277297974
66,I like❤ this game,POSITIVE,0.998880922794342
67,Excellent,POSITIVE,0.998581051826477
68,Super,POSITIVE,0.9985753297805786
69,Great game,POSITIVE,0.998761773109436
70,Very good,POSITIVE,0.9986018538475037
71,pake cheats aja😴😴😴,POSITIVE,0.9979104399681091
72,Good 😛game,POSITIVE,0.9987748265266418
73,It's a pretty fun game!!,POSITIVE,0.9987925291061401
74,This game supports lgbtq community that is why i gonna delete it because we are Muslims,NEGATIVE,0.999042809009552
75,Hi I thought you should update your game based on horror theme and token will be scelton's head . it will be intresting . Ok Thank You,POSITIVE,0.9976341724395752
76,Toooooooo amazing to be true but after every 3 to days it restarts,NEGATIVE,0.9970715045928955
77,It is very very very and very good game it ha good 👍 controls,POSITIVE,0.9987603425979614
78,This is your children's harm full plz dont,NEGATIVE,0.9992592930793762
79,Meh,NEGATIVE,0.9988572597503662
80,Nice Game 🤩,POSITIVE,0.998812198638916
81,My frist game,POSITIVE,0.9980765581130981
82,Very nice game 👍👍very time consuming and you play and play to get into championship rankings I highly recommend this game,POSITIVE,0.9989319443702698
83,It's very fantastic game. I play this game for many times and I always enjoy this game 👍👍,POSITIVE,0.9989122152328491
84,bad game and they are support LGBTQ,NEGATIVE,0.9994413256645203
85,Good game but update problem. Update any 5/7 days.,POSITIVE,0.9968168139457703
86,I love this game 😘😘😍😍,POSITIVE,0.9988635778427124
87,Nc👼,POSITIVE,0.9959015250205994
88,Promoting lgbtq 0 stars,NEGATIVE,0.9994756579399109
89,I love this game so much i can play it the whole day because it keep me busy,POSITIVE,0.9988491535186768
90,Hate,NEGATIVE,0.9959344863891602
91,Mind-blowing,POSITIVE,0.998188316822052
92,Its fun and very easy to play very addictive you can play endlessly for hours,POSITIVE,0.9988704323768616
93,Hammad Raza 786,POSITIVE,0.9783573150634766
94,Its very nice but take dont updaate apss so dont ples,NEGATIVE,0.9902436137199402
95,The best running game ever destroyed . YOU ARE SUPPORTING PRIDE MORE THAN EVERY OTHER GAME 🏳️‍🌈🤨🤢!?,POSITIVE,0.9984009861946106
96,Very beautiful game,POSITIVE,0.9987159967422485
97,I play this game in childhood it is still very good game,POSITIVE,0.9988584518432617
98,This is my favorite games,POSITIVE,0.9987601041793823
99,This game is super 😍 it doesn't have much ads and that makes it relaxing and amazing 🤩😍,POSITIVE,0.9989252686500549
100,So nice 👍🙂👍👍🙂👍,POSITIVE,0.9987238049507141
101,Eisir,POSITIVE,0.9905738234519958
102,Vjfhi .,POSITIVE,0.9875103235244751
103,Excellent Game,POSITIVE,0.9987239241600037
104,I love it Is so much fun so I'm give five stars,POSITIVE,0.9988935589790344
105,Whene you start supporting LGBT oh hell NO I'm not into that man,NEGATIVE,0.9994518160820007
106,This game is nice and subway surfers is my favourite game,POSITIVE,0.9988319277763367
107,I can't believe that this iconic game fell into the hands of LGBTQ community as now it is unplayable as I m a muslim. The game was such a child friendly game but now look at what it has become,NEGATIVE,0.9994907379150391
108,I will say u should play this game once,POSITIVE,0.9956533908843994
109,عالی,NEGATIVE,0.7141810655593872
110,Good,POSITIVE,0.9984152317047119
111,This game is superb,POSITIVE,0.9988456964492798
112,This game is ok ok not good too much as a time pass game 🙂🙂👉👈👍,POSITIVE,0.9981653094291687
113,Too good!,POSITIVE,0.9892511963844299
114,"I loved the game very, very much until you added the Transformers Flags update. In my opinion, the game is the Best but the update is the worst",NEGATIVE,0.9986397624015808
115,Thanks for this game I love this game so much,POSITIVE,0.9989105463027954
116,Ch xicuctdetjgjt,POSITIVE,0.7960086464881897
117,No rinbow for kids... Stop that,NEGATIVE,0.9991735816001892
118,BEST GAME,POSITIVE,0.9982775449752808
119,Great experience so far,POSITIVE,0.9988372921943665
120,This is defrunt all games i am empresed🤗🤗,POSITIVE,0.9979640245437622
121,The game began to be 🏳️‍🌈 and i am mslema,POSITIVE,0.9984717965126038
122,Nice,POSITIVE,0.9977694749832153
123,I play this game since my childhood and now u include igbtq+🙂 that's why i give 1 star for this F***k**g Update🙂 (U just ruined my childhood)🙂,NEGATIVE,0.9995007514953613
124,my sakmal philippines,POSITIVE,0.9975165128707886
125,Bhailal rupabhai mulani,POSITIVE,0.9838770031929016
126,Baht a chcha hai,NEGATIVE,0.9839761257171631
127,I laekate,POSITIVE,0.9946334362030029
128,"Just killing time , great game to play if you are retired with no grandkids 🤓",POSITIVE,0.9987509250640869
129,Prepare to make the subware house by the way the world is like a good game as like,NEGATIVE,0.5300789475440979
130,❤❤,POSITIVE,0.9981434345245361
131,Just amazing 🤩🤩,POSITIVE,0.9986415505409241
132,Nice jj nn k j8. Jnn n jp,POSITIVE,0.9982524514198303
133,So cute,POSITIVE,0.9984317421913147
134,Noob 🤕,POSITIVE,0.9967394471168518
135,Mere Bachpan ka Game hai,POSITIVE,0.9974628686904907
136,Good,POSITIVE,0.9984152317047119
137,Amezing game ❤️,POSITIVE,0.9988260865211487
138,Good,POSITIVE,0.9984152317047119
139,It's a good thing to feel happy 😁,POSITIVE,0.9984306693077087
140,Good,POSITIVE,0.9984152317047119
141,My favourite ever,POSITIVE,0.9986134767532349
142,Usu,NEGATIVE,0.657088577747345
143,APPLE,NEGATIVE,0.9705440402030945
144,I like this game,POSITIVE,0.9989098310470581
145,This is a very nice game,POSITIVE,0.9987730383872986
146,I play subway surfers from Pakistan 💙 I like this and please subway surfers director give me 50 USA dollars 💰 please help me,POSITIVE,0.998731791973114
147,Its a really fun game i have no complaints,POSITIVE,0.9989109039306641
148,Nice game no bug,POSITIVE,0.9987843632698059
149,This is a very good game but I think there could be more improvements made somehow idk what improvements but yeah some improvements are required...,POSITIVE,0.9987345337867737
150,Super,POSITIVE,0.9985753297805786
151,I can't leave my kids play on this any more and not just my kids the kids of all my family are removed this game because they tried to manipulate kids !,NEGATIVE,0.999423623085022
152,I would like if there would be more types of clutching thing you could use,NEGATIVE,0.9916337728500366
153,Nice 👍 geme,POSITIVE,0.9980735778808594
154,Pratiksha Hidadugi,POSITIVE,0.9740036129951477
155,I used to love this game but now that it's openly promoting LGBTQ pride thing it's just not ethical you must realize that this is an openly excepted game for children haven't you though what effect it would have on children for every parent I would kindly request to delete this game in your child's phone or else it would have an negative effect on our kids and future generation.,NEGATIVE,0.9994826316833496
156,این بازی خیلی خوب است,POSITIVE,0.9870965480804443
157,Nice and amazing game,POSITIVE,0.9988986253738403
158,Very very best time pass game Mera time pass to isse hi hota hai and khelne mai bhi utna hi maza hai,POSITIVE,0.9986438155174255
159,Super,POSITIVE,0.9985753297805786
160,Nice game,POSITIVE,0.9988034963607788
161,I♥︎this gamep,POSITIVE,0.9987770915031433
162,Give all bundles,POSITIVE,0.9976873397827148
163,Nice 👍👍👍 game 👍👍👍👍 😲😲😲😲😲,POSITIVE,0.9986795783042908
164,This game is at the end of the day of the day,POSITIVE,0.9963357448577881
165,I love this game and also I have been playing with this game and I just love this game I am playing this game for 5 to 6 years best game ever,POSITIVE,0.9989160299301147
166,1st birthday party 40th grade and we can go back and forth between That's good and u know what you doing tonight and then we will be here 2 to be there in about half an HR ago and it will take a 🚿 and then you will be in my life is good for me I was just thinking that I was going on and I don't want to go 🔙 to the hospital and I have to be there at about half hour and half a day or 🌃 and sweet potato pie is the best of the African American Horror Story 🏨 and I don't want me there at the 🌙,POSITIVE,0.9917488098144531
167,Bdj,POSITIVE,0.9713780283927917
168,Lovethis game,POSITIVE,0.9988522529602051
169,Classic but good,POSITIVE,0.9987163543701172
170,1namer,POSITIVE,0.9468441009521484
171,"It is a very nice game i came in world 2 position in this game i like this game to much my highest record is35,50,306",POSITIVE,0.9988693594932556
172,This game is so good,POSITIVE,0.9984830021858215
173,Loved this game until y'all started supporting lgbtq. You know yeah yeah it's just me and stuff but what about the kids? That's bad for the kids. If I had kids I dont want you showing my kid your mental illness to him/her. You can be a stick if you wanna be I'm not against that cause I've already matured enough to understand. But what about the kids? What are you teaching them? How to be gay? How to be trans? No way.,NEGATIVE,0.9988683462142944
174,view that home and Bangladesh the Bangladesh the Bangladesh the BNP leaders the are home set the bit bat and two years ago bit hgs Bangladesh therefore therefore Iran and Ivy has God himself v hit him get,NEGATIVE,0.9933029413223267
175,sajjad,POSITIVE,0.952251136302948
176,☺😘😊🤩😉😘🤪,POSITIVE,0.9986497759819031
177,oh!,NEGATIVE,0.9963498115539551
178,Great,POSITIVE,0.998588502407074
179,Ho gaya ye 😡 hai na Kaun i phone mere pass nahi tha ki tum iirurvrfv rjdr ucrw tc to be a w a,POSITIVE,0.998282790184021
180,I like this game its a wonderful game,POSITIVE,0.998881995677948
181,I love this game more but I'm giving one star because it's making me addicted so I'm going to leave this game 😔,NEGATIVE,0.9994476437568665
182,This gameis good for timp pass,POSITIVE,0.9986918568611145
183,Extremely nice Sometimes where tokens and others are being placed is quite anoying,POSITIVE,0.9986580610275269
184,Problem with connecting internet,NEGATIVE,0.9992606043815613
185,when i try to watch ad to revive the add isn't working it's just black screen,NEGATIVE,0.9994977712631226
186,It is very good and enjoying game 🎮,POSITIVE,0.9988816380500793
187,Unfortunately Pride disease has effected this game as well,NEGATIVE,0.9994662404060364
188,😘,POSITIVE,0.9970974922180176
189,This game is very good,POSITIVE,0.9987051486968994
190,I love this games it's my favourite,POSITIVE,0.9988970756530762
191,Very nice,POSITIVE,0.9986618757247925
192,Good. Game,POSITIVE,0.9987788796424866
193,One of the worst games I have ever experienced,NEGATIVE,0.9995023012161255
194,Nice 👍👍,POSITIVE,0.9985217452049255
195,×3,NEGATIVE,0.9776926636695862
196,Its sooo nice,POSITIVE,0.9985163807868958
197,This game is fun and love to play. I'm going to give it 5 stars because this game is fun to play.,POSITIVE,0.9988932013511658
198,اوووووووووه,NEGATIVE,0.9298983216285706
199,Great game but i would really like ut if you create a hoverboard with both super jump and. super speed please....,POSITIVE,0.99832683801651
