content,sentiment,score
Fraud kar rahe h ye chori karta h inka staff.please don't purchase.,NEGATIVE,0.999244094
Crashing,NEGATIVE,0.998749852
Good,POSITIVE,0.998415232
Maine tomato catchup extra bhejne ko bola tha vo bhi nhi bhej paye or 15 minute m delivery Dene ka show krta h or aata h 40 min m thanda pizza,NEGATIVE,0.994410813
Bad app doesnot work anytime always i fill my cart and after sometime all items get deleted by itself...al my 15 20 min waste everytime,NEGATIVE,0.999504566
"Cant even proceed to cart for place the order worst app ever seen, always they have some excuses. Just worst app with worst management.",NEGATIVE,0.99950695
Delivery is bad sometimes and there is always a glitch in tracking section as the location of the delivery guy remains the same and we can't track it anyway.,NEGATIVE,0.999493241
Poor app paisa refund nhi karte Or delivery bhi nhi pahuchate fake app he lakhimpur la poor restaurant he,NEGATIVE,0.999478161
Good app for all things groceries and restaurant food is awesome,POSITIVE,0.998804688
Very nice,POSITIVE,0.998661876
Very bad i order but tell us no delivery,NEGATIVE,0.999501348
It app ok,NEGATIVE,0.993970752
fraud,NEGATIVE,0.998088777
The product here is very good and arrives very quickly. this is very helpful,POSITIVE,0.9989236
"I am unable to login after the new update , gives account is locked error after entering OTP",NEGATIVE,0.999487877
I like. Because it's food & service are very good. Happy independence day,POSITIVE,0.998889744
When you take home delivery of something and then u complaint regarding that then someone says we are providing you next parcel please wait..The n receptionist call u and says that sir this is the original gravy of our recipe maybe u don't know the taste of food there is some issue but our Quality is number 1.. Everything is fine sir..please eat that food this is the staff behavior and this is the Quality atithi restaurant is providing. WORST TASTE,NEGATIVE,0.990595222
Very Bad experience with Atithi grocery. They Delivered seal broken items and Near Expiry items even i got the same month expiry product of this Year which delivered in july. Very very bad experience. Mostly Expired or Near Expiry items sold.,NEGATIVE,0.99951005
"DO NOT USE THIS FRAUD APP..!! This is the worst app in terms of app bugs and the restaurant service. They are looting people's hard earned money by giving them offer to get 20% cashback into wallet and then a customer cannot even use their wallet money.. also when told query over call, the employees are giving rubbish and illogical reasons like asking to restart the phone or empty the cart then wallet money would come back. They all are uneducated and unprofessional..!!",NEGATIVE,0.999509931
Very bad online delivery. I ordered at 9 pm. The delivery boy delivered it on 10.30 pm and when I opened it was wrong item. Then he came back to collect it on 11 pm. After that I ordered from another restaurant. I am very disappointed with this restaurant.,NEGATIVE,0.999510765
Sometimes vegetables are stale,NEGATIVE,0.998369515
Nice experience service is good I got my order on time properly everytime,POSITIVE,0.998913765
Good experience I am fully satisfied with products and fast delivery some time delay but overall good service 🙂..,POSITIVE,0.99892813
Very Bad behaviour Grocery manager I am not satisfied this type language,NEGATIVE,0.999496579
very late delivery,NEGATIVE,0.999485135
Very poor experience,NEGATIVE,0.999489665
Bakwas,POSITIVE,0.987865627
Ghatiya,POSITIVE,0.988988221
Behaviour of staff is very rude,NEGATIVE,0.999491692
Very poor,NEGATIVE,0.999473393
Worst experience,NEGATIVE,0.99945122
Perfect app for every one for all grocery.,POSITIVE,0.998830378
Good app so much good and honest workers keep it up thank for all of yours convenience 🤩🤗❤️👍👍👍,POSITIVE,0.998888075
Meri bahan har mahine rasan magati h Very nice service,POSITIVE,0.998605192
The prices are high and the management is rude,NEGATIVE,0.999488711
Very usefull app,POSITIVE,0.998752594
Food Delivery always be poor.,NEGATIVE,0.999497652
They are all an idiot I ordered a patanjali product and haven't received it yet and then too it says it is delivered. Idiots,NEGATIVE,0.999498487
Worst experience This Time We ordered Onion Dosa And there surprisingly Ghere was no onion in the batter. Only it was roated and sprinkled on the Top Of The Dosa. Also They Have Not Mentioned That There Will Be Green Chilli Mixed. So This was the worst experience. I Do Not Recommend Any One To Eat Dosa Here.,NEGATIVE,0.999507546
Very poor food Quality of this hotal they can't worth for our money and charging rates to high,NEGATIVE,0.999506593
BEST APP GROSERY( LAKHIMPUR ),POSITIVE,0.993254244
Very good app for every requrement in your hand,POSITIVE,0.998863816
Price remains the same even after updating and install again and again due to which my two orders were canceled .,NEGATIVE,0.999479353
Fantastic app for food 👍grocery 😋 service is amazing 👏 customer talking sense is very gently I like it 👌 best app for shopping here in lmp 😊thanks 😊😀,POSITIVE,0.998932779
Worst app ever to order food in Lakhimpur If you want to order dinner from atithi then you have to order it in morning then only you will recieve for dinner,NEGATIVE,0.999503255
Sometimes delays but overall better experience in food and service 😌,POSITIVE,0.998891056
Better,POSITIVE,0.997954726
"They are cheating and doing fraud against wallet amount. Make ur money expired in one month, without any message or email. They give only excuses for any thing related with app. Worst app & wallet policy. Don't use this app.",NEGATIVE,0.99950552
"Good service , delicious food best restaurants in Lakhimpur ,,,,",POSITIVE,0.998879969
"ATITHI is selling some items more than M R P. They have nutral iffect of complaint or feedback. Even not ready to listen , what customer is saying about your product ,rate or services.I have bought some items on 20.08.2021,which were billed on more than M R P, but their feedback team is expert enough to explain that M R P is nothing. We are selling items based on market. The one thing that you can't say your issue to any responsible person or owner is very special.",NEGATIVE,0.997226655
This restaurant is pathetic and no one should go there.. the staff does not have any etiquette of talking and do not have any dignity.. The owner too does not carry any responsibility of serving people in a right manner... This restaurant is a cheater and has got opened to just mint money... Not sure if I can give negative stars... I might have given -100.,NEGATIVE,0.999511719
They serve good quality in restaurent section. I don't know how are they in grocery. Tastewise they serve better Application needs some improvement . So my rating would be 4.2,POSITIVE,0.998705506
You will never get full weight of items you order but you will pay full amount,NEGATIVE,0.997939169
"The product which I purchase from atithi grocery store was damaged , not satisfied, received seal broken item",NEGATIVE,0.99948597
